J:Number	R	1* M	1* M	1* M	1* M	1* M	1* M	1* M	1* M	1* M	1* M	1* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	1* M Allele	1* M Allele	1* M Allele	2* M Allele	2* M Allele	2* M Allele
48443	R	Ap3d	Ap3b1	ep	pa	ru	ru2	le	mu	rp	sdy	coa	sut	gm																				
48517		Adcy1																																
48532		Grm6																																
48532		Grm6																																
48634		Abc10																																
48704		a																								A<y>								
48722		a																								A<y>								
48765		Fbn1	Col5a2																															
48816		Cdk5r2																																
48817		Blm																																
48825		Ly86																																
49018		Nsccn1																																
49047		Cmas																																
49068		Fsrg1																																
49133		Vax1											Pax6	Dlx1	Emx1	Emx2													Pax6<sey>					
49136		Fish											Src																					
49297		Sh3d2c	Sh3d2c-ps1																															
49322		Gli3	Fmn										Shh	Gli	Ptch	Hoxa11	Hoxa13	Hoxb8	Hoxd9	Hoxd11	Hoxd12	Hoxd13				Gli3<Xt>	Fmn<ld>							
49328		Slc2a4																																
49329		clp											Mag	Ncam																				
49331		Cpne6																																
49398		Slc2a4																																
49536		Aanat													
49648		Slugh	Sna												
49679		Fos													
49702		Ret													
49739		Slc16a7	Slc16a1												
49840		Apaf1													
49841		Apaf1													
49913		Fhl1	Rbpsuh										Notch1		
49930		Fgf8											Lhx6	Lhx8	Edn1
49959		App													
49974		Pon1													
49975		Rad17													
49983		Unc119h													
50016	R	Ppap2a													
50024		Ppara													
50106		Trp63													
50116		Matn4																								
50117		Invs																								
50118		Wfs1																								
50122		Ptprf											Ptpra													
50123		Adtg2																								
50125		Rex2	Rex3	Slc2a3	Ccnd3	Pk3	Gsta4																			
50126		Syngr1	Syngr2																							
50128		Cdk9																								
50138		Tdg																								
50203		Sox10																								
50233		Cspg2																								
50254		Nrtn											Gdnf	Gfra1	Gfra2	Gfra3	Ret									
50307		Alx4											Gli3													Alx4<lstJ>
50318		Gpx2																								
50320		Chrd																								
50321		Incenp	Cenpe																							
50322		Zfp259													
50323		Fut9													
50324		Prsc1													
50327		Pkdl	Krd												
50330		Oaz	Oaz2												
50332		Sacm2l	Rps18												
50334		Cbfa2t2h	Cbfa2t2h-ps1												
50391		Pstpip2													
50394		Sox5	Sox6										Sox9	Col2a1	Agc
50413		Nkx2-5											Gata4		
50414		Col12a1	Cola1												
50457		Wiz													
50498		Casq2													
50502		Prkm8ip													
50523		Mds1	Tekt1												
50524		Capn4													
50525		Sluc5	Sluc6	Sluc7	Sluc8	Sluc9	Sluc10	Sluc11	Sluc12	Sluc13	Sluc14																							
50527		Proc																																
50528		Scnn1g																																
50529		Top3b																																
50530		Tnfsf19-pending																																
50531		Hdac2																																
50532		Cdgap																																
50534		Nlvcf																																
50535		Edg6																																
50536		Krt2-6-ps1	Krt2-6-ps2	Krt2-6a	Krt2-6b	Krt2-6c																												
50537		Hyal2																																
50538		Itln																																
50539		Rfxank																																
50541		Plau											Amel	Tgfb1																				
50542		Nova2																																
50543		Racgef1-pending																																
50545		Trp63											
50546		wr											
50559		Dspp	Ambn										
50566		Gna13											
50568		Gct	Gct2	Gct3	Gct4								
50640		Wfs1											
50644		Ptf1a											
50645		Ptf1a	Amy2	Ela2	Try2								
50652		Gp5											
50673		Grl1											
50694		Adrb1	Adrb2	Adrb3									Adrbk1
50699		V1r1	V1r2	V1r3	V1r4								
50700		Sgce											
50700		Sgce											
50704		Rngtt											
50704		Rngtt											
50706		Nr1i2														
50710		Lepr	Npy	Gcg												
50712		Agtr1a														
50714		Nr1i2														
50729		Acads	Acadl													
50812		Dpm2														
50814		Prnp														
50815		Gpx1	Tdpx1										Gpx4	Myc	Tgfa	Trp53
50816		Cyp1a1											Ahr			
50817		Advil-pending	Car6	Ddit3	Hgl											
50821		Dpm1														
50821		Dpm1														
50824		nob														
50825		Ndph														
50836		Hnf3b											Hnf6			
50839		Bard1														
50841		Sfpi1																										
50843		Blm																										
50845		Pstpip2																										
50845		Pstpip2																										
50846		Msg2																										
50848		Tgfb1																										
50849		Itgb4bp																										
50852		Supt4h	Supt4h2																									
50856		Cdc10																										
50858		Ap3s1																										
50859		Cit																										
50860		Casp14																										
50861		Casp14																										
50864		Rnaseh1																										
50865		Lig4																										
50986		a	Lep	Lepr									Mc1r	Mc2r	Mc3r	Mc4r	Mc5r									A<y>	Lep<ob>	Lepr<db>
50989		Mgf																								
50990		Drd1a																								
50991		rs																								
50995		pmn																								pmn
50999		Cftr																								
51001		Ache																								
51004		Rps7																								
51009		Edn1																								
51012		Gja1																								
51013		Pdgfa	Pdgfb																							
51015		Crabp1	Crabp2	Rbp1									Raldh2													
51019		Cyp7a1											Cyp27													
51020		Hspg2											Fgf2	Fgf7												
51021		Agtr1a	Agtr1b										Agt													
51022		Ldlr	Apob																							
51023		Pln																								
51027		Trrp3	Trrp6										Trrp1	Trrp2	Trrp4	Trrp5	Plcb																	
51028	R	Acrg																																
51031		Mlsn1											Mitf																					
51032		Aop2	Aop2-rs1	Aop2-rs2																														
51033		Cd83																																
51034		Nr1i2	Cyp3a1																															
51036		Fkbp7																																
51037		Nmrk																																
51094		a											Mcph	Prkdc	Btk	Fas	Ac	Dh	Lyst	Kit	Mgf	hr							Fas<lpr>					
51117		Tap1											Rag1																					
51133		Th											Drd1a	Drd2																				
51135		Mdrap											Pgy1	Pgy2	Pgy3																			
51137		Tfpi																																
51139		Pou5f1											Fgf4																					
51140		Reln																																
51141	R	Sod1	Sod2	Sod3	Gpx1																													
51142		Hcph											Lyn													Hcph<me>					
51143		Ihh	Bmp2	Bmp4																											
51144		Trp53																													
51145		Th																													
51147		Kcnab1																													
51150		Itpka																													
51152		Camk2a																													
51153		Cacng2	Bdnf																							Cacng2<stg-wg>					
51156		Hsp70-1	Hsp70-3																												
51158		Ahr											Arnt	Cyp1a1	Cyp1b1																
51159		Mf1																													
51161		Cryg																													
51165	R	Aqp1	Aqp2	Aqp4	Aqp5	Aqp7	Aqp8																								
51171		Bcr	Abl																												
