Source	Raw BioType	Feature Type Equivalence	Primary Feature Type	RawBioType > MarkerType	Notes	Use Child To Determine Equivalence	no
MGP	IG_D_pseudogene	pseudogenic gene segment	pseudogenic gene segment	Pseudogene	no		
MGP	IG_gene	gene segment	gene segment	Gene	no		
MGP	IG_J_gene	gene segment	gene segment	Gene	no		
MGP	IG_J_pseudogene	pseudogenic gene segment	pseudogenic gene segment	Pseudogene	no		
MGP	IG_LV_gene	gene segment	gene segment	Gene	no		
MGP	IG_M_gene	gene segment	gene segment	Gene	no		
MGP	IG_pseudogene	pseudogenic gene segment	pseudogenic gene segment	Pseudogene	no		
MGP	IG_V_gene	gene segment	gene segment	Gene	no		
MGP	IG_V_pseudogene	pseudogenic gene segment	pseudogenic gene segment	Pseudogene	no		
MGP	IG_Z_gene	gene segment	gene segment	Gene	no		
MGP	lincRNA	lincRNA gene	lincRNA gene	Gene	no		
MGP	macro_lncRNA	lncRNA gene	lncRNA gene	Gene	no		
MGP	miRNA	miRNA gene	miRNA gene	Gene	no		
MGP	misc_RNA	unclassified gene|non-coding RNA gene	unclassified non-coding RNA gene	Gene	yes		
MGP	Mt_rRNA	rRNA gene	rRNA gene	Gene	no		
MGP	Mt_tRNA	tRNA gene	tRNA gene	Gene	no		
MGP	ncrna_host	lncRNA gene	lncRNA gene	Gene	no		
MGP	non_coding	non-coding RNA gene	unclassified non-coding RNA gene	Gene	yes		
MGP	polymorphic_pseudogene	polymorphic pseudogene	polymorphic pseudogene	Pseudogene	no		
MGP	processed_pseudogene	pseudogene	pseudogene	Pseudogene	no		
MGP	processed_transcript	unclassified non-coding RNA gene|unclassified gene|lncRNA gene	unclassified non-coding RNA gene	Gene	no		
MGP	protein_coding	protein coding gene	protein coding gene	Gene	no		
MGP	pseudogene	pseudogene	pseudogene	Pseudogene	no		
MGP	retrotransposed	pseudogene	pseudogene	Pseudogene	no		
MGP	ribozyme	ribozyme gene	ribozyme gene	Gene	no		
MGP	rRNA	rRNA gene	rRNA gene	Gene	no		
MGP	scaRNA	snoRNA gene	snoRNA gene	Gene	no		
MGP	scRNA	scRNA gene|SRP RNA gene	scRNA gene	Gene	no		
MGP	sense_intronic	sense intronic lncRNA gene	sense intronic lncRNA gene	Gene	no		
MGP	sense_overlapping	sense overlapping lncRNA gene	sense overlapping lncRNA gene	Gene	no		
MGP	snoRNA	snoRNA gene	snoRNA gene	Gene	no		
MGP	snRNA	snRNA gene	snRNA gene	Gene	no		
MGP	sRNA	unclassified non-coding RNA gene	unclassified non-coding RNA gene	Gene	no		
MGP	TEC	all feature types	unclassified gene	Gene	no		
MGP	TR_C_gene	gene segment	gene segment	Gene	no		
MGP	TR_D_gene	gene segment	gene segment	Gene	no		
MGP	TR_gene	gene segment	gene segment	Gene	no		
MGP	TR_J_gene	gene segment	gene segment	Gene	no		
MGP	TR_J_pseudogene	pseudogenic gene segment	pseudogenic gene segment	Pseudogene	no		
MGP	TR_pseudogene	pseudogenic gene segment	pseudogenic gene segment	Pseudogene	no		
MGP	TR_V_gene	gene segment	gene segment	Gene	no		
MGP	TR_V_pseudogene	pseudogenic gene segment	pseudogenic gene segment	Pseudogene	no		
MGP	transcribed_processed_pseudogene	pseudogene	pseudogene	Pseudogene	no		
MGP	transcribed_unitary_pseudogene	pseudogene	pseudogene	Pseudogene	no		
MGP	transcribed_unprocessed_pseudogene	pseudogene	pseudogene	Pseudogene	no		
MGP	translated_processed_pseudogene	pseudogene	pseudogene	Pseudogene	no		
MGP	translated_unprocessed_pseudogene	pseudogene	pseudogene	Pseudogene	no		
MGP	unitary_pseudogene	pseudogene	pseudogene	Pseudogene	no		
MGP	unknown_likely_coding	protein coding gene	protein coding gene	Gene	no		
MGP	unprocessed_pseudogene	pseudogene	pseudogene	Pseudogene	no		
