MGI:5933787	Tssr6020	MGI:1934659	Pi15
MGI:5933789	Tssr6022	MGI:1934666	Crispld1
MGI:5933790	Tssr6023	MGI:1934666	Crispld1
MGI:5933791	Tssr6024	MGI:1934666	Crispld1
MGI:5933792	Tssr6025	MGI:3648169	Gm7690
MGI:5933793	Tssr6026	MGI:2153466	Tfap2d
MGI:5933797	Tssr6030	MGI:104672	Tfap2b
MGI:5933798	Tssr6031	MGI:104672	Tfap2b
MGI:5933799	Tssr6032	MGI:104672	Tfap2b
MGI:5933800	Tssr6033	MGI:104672	Tfap2b
MGI:5933801	Tssr6034	MGI:104672	Tfap2b
MGI:5933802	Tssr6035	MGI:104672	Tfap2b
MGI:5933803	Tssr6036	MGI:104672	Tfap2b
MGI:5933804	Tssr6037	MGI:104672	Tfap2b
MGI:5933805	Tssr6038	MGI:104672	Tfap2b
MGI:5933806	Tssr6039	MGI:104672	Tfap2b
MGI:5933807	Tssr6040	MGI:104672	Tfap2b
MGI:5933808	Tssr6041	MGI:104672	Tfap2b
MGI:5933809	Tssr6042	MGI:104672	Tfap2b
MGI:5933813	Tssr6046	MGI:104672	Tfap2b
MGI:5933814	Tssr6047	MGI:104672	Tfap2b
MGI:5933816	Tssr6049	MGI:1922278	4930486I03Rik
MGI:5933820	Tssr6053	MGI:107364	Il17a
MGI:5933821	Tssr6054	MGI:5578771	Gm28065
MGI:5933822	Tssr6055	MGI:1921479	Paqr8
MGI:5933823	Tssr6056	MGI:1921479	Paqr8
MGI:5933824	Tssr6057	MGI:1921479	Paqr8
MGI:5933825	Tssr6058	MGI:1921479	Paqr8
MGI:5933826	Tssr6059	MGI:1921479	Paqr8
MGI:5933827	Tssr6060	MGI:1919127	Efhc1
MGI:5933828	Tssr6061	MGI:1919127	Efhc1
MGI:5933829	Tssr6062	MGI:1919127	Efhc1
MGI:5933830	Tssr6063	MGI:1919127	Efhc1
MGI:5933831	Tssr6064	MGI:1922962	Tmem14a
MGI:5933832	Tssr6065	MGI:1922962	Tmem14a
MGI:5933833	Tssr6066	MGI:1922962	Tmem14a
MGI:5933834	Tssr6067	MGI:1922962	Tmem14a
MGI:5933835	Tssr6068	MGI:95856	Gsta3
MGI:5933836	Tssr6069	MGI:95856	Gsta3
MGI:5933837	Tssr6070	MGI:95856	Gsta3
MGI:5933838	Tssr6071	MGI:95856	Gsta3
MGI:5933839	Tssr6072	MGI:95856	Gsta3
MGI:5933846	Tssr6079	MGI:3648114	Gm7094
MGI:5933848	Tssr6081	MGI:2676610	Khdc1a
MGI:5933849	Tssr6082	MGI:2676610	Khdc1a
MGI:5933850	Tssr6083	MGI:3583007	Khdc1c
MGI:5933857	Tssr6090	MGI:2676907	Mir30a
MGI:5933860	Tssr6093	MGI:3619048	Mir30c-2
MGI:5933862	Tssr6095	MGI:2389490	B3gat2
MGI:5933863	Tssr6096	MGI:2389490	B3gat2
MGI:5933864	Tssr6097	MGI:2389490	B3gat2
MGI:5933865	Tssr6098	MGI:2389490	B3gat2
MGI:5933866	Tssr6099	MGI:2389490	B3gat2
MGI:5933867	Tssr6100	MGI:2389490	B3gat2
MGI:5933870	Tssr6103	MGI:88465	Col9a1
MGI:5933871	Tssr6104	MGI:88465	Col9a1
MGI:5933872	Tssr6105	MGI:88465	Col9a1
MGI:5933878	Tssr6111	MGI:1915671	Lmbrd1
MGI:5933879	Tssr6112	MGI:1915671	Lmbrd1
MGI:5933880	Tssr6113	MGI:1915671	Lmbrd1
MGI:5933881	Tssr6114	MGI:1915671	Lmbrd1
MGI:5933882	Tssr6115	MGI:1915671	Lmbrd1
MGI:5933883	Tssr6116	MGI:1915671	Lmbrd1
MGI:5933884	Tssr6117	MGI:1915671	Lmbrd1
MGI:5933885	Tssr6118	MGI:1915671	Lmbrd1
MGI:5933886	Tssr6119	MGI:1915671	Lmbrd1
MGI:5933887	Tssr6120	MGI:1915671	Lmbrd1
MGI:5933894	Tssr6127	MGI:3646041	Gm5524
MGI:5933895	Tssr6128	MGI:3646041	Gm5524
